"Date","Forecast_m3","Lower_95_CI","Upper_95_CI"
2025-05-01,7711213,7201578,8220847
2025-06-01,8148507,7607669,8689345
2025-07-01,7867464,7299171,8435758
2025-08-01,8443137,7850475,9035799
2025-09-01,8101175,7486739,8715611
2025-10-01,8319158,7685163,8953153
2025-11-01,8143501,7491861,8795141
2025-12-01,8136934,7469319,8804549
2026-01-01,7579987,6897867,8262107
2026-02-01,7733397,7038071,8428723
2026-03-01,7219580,6512207,7926954
2026-04-01,7648984,6930599,8367369
2026-05-01,7865336,7106906,8623766
2026-06-01,8302323,7527222,9077425
2026-07-01,8020985,7230710,8811260
2026-08-01,8596373,7792258,9400488
2026-09-01,8254137,7437374,9070899
2026-10-01,8471854,7643515,9300194
2026-11-01,8295942,7456990,9134894
2026-12-01,8289130,7440438,9137822
2027-01-01,7731945,6874304,8589586
2027-02-01,7885126,7019253,8751000
2027-03-01,7371090,6497639,8244541
2027-04-01,7800282,6919848,8680715
